;Julho;04/07/2014;Equipe anterior;;DIR;Agente cedente;Agente da Câmara de Comercialização de Energia Elétrica - CCEE pertencente à classe dos agentes consumidores livres e consumidores especiais, quando da cessão de montantes de energia elétrica, nos termos das normas vigentes.;Revogado;Resolução Normativa ANEEL n. 611, de 8 de abril de 2014 (Diário Oficial, de 4 jul. 2014, seção 1, p. 144) (REVOGADA);http://www.aneel.gov.br/cedoc/ren2014611.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;04/07/2014;Equipe anterior;;DIR;Agente cessionário;Agente da Câmara de Comercialização de Energia Elétrica - CCEE pertencente à classe dos agentes consumidores livres, consumidores especiais, comercializadores e à categoria de geração.;Revogado;Resolução Normativa ANEEL n. 611, de 8 de abril de 2014 (Diário Oficial, de 4 jul. 2014, seção 1, p. 144) (REVOGADA);http://www.aneel.gov.br/cedoc/ren2014611.pdf;_;Não se Aplica;;SIM;;;;;
;Maio;27/05/2022;Luiza;;SRM;Agente comercializador tipo 1 (SIN);Comercializador sem limitação para registro de montantes de venda no Sistema de Contabilização e Liquidação da CCEE.;Vigente;Resolução Normativa ANEEL n. 1.014, de 12 de abril de 2022 (Diário Oficial, de 25 abr. 2022, seção 1, p. 92);https://www2.aneel.gov.br/cedoc/ren20221014.pdf;_;SIN;SIN;Termo Novo;;;;;
;Maio;27/05/2022;Luiza;;SRM;Agente comercializador tipo 2 (SIN);Comercializador sujeitos a limitação para registro de até 30 MWmédios em montantes de venda mensais totais no Sistema de Contabilização e Liquidação da CCEE.;Vigente;Resolução Normativa ANEEL n. 1.014, de 12 de abril de 2022 (Diário Oficial, de 25 abr. 2022, seção 1, p. 92);https://www2.aneel.gov.br/cedoc/ren20221014.pdf;_;SIN;SIN;Termo Novo;;;;;
;Julho;24/07/2013;Equipe anterior;;SEM;Agente comprador cedente (MCSD);Agente de distribuição declarante de sobras cedidas no processamento do MCSD.;Revogado;Resolução Normativa ANEEL n. 260, de 3 de abril de 2007 (Diário Oficial, de 13 abr. 2007, seção 1, p. 77) (REVOGADA);http://www.aneel.gov.br/cedoc/ren2007260.pdf;_;Usar qualificador;MCSD;SIM;;;;;
;Julho;24/07/2013;Equipe anterior;;SEM;Agente comprador cessionário;Agente de distribuição declarante de déficits e recebedor de sobras no processamento do MCSD.;Revogado;Resolução Normativa ANEEL n. 260, de 3 de abril de 2007 (Diário Oficial, de 13 abr. 2007, seção 1, p. 77) (REVOGADA);http://www.aneel.gov.br/cedoc/ren2007260.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;24/07/2013;Equipe anterior;;_;Agente comprador das quotas-parte de Itaipu;Concessionárias de distribuição de energia elétrica, adquirentes das quotas-parte da produção da Itaipu Binacional posta à disposição do Brasil, conforme o disposto na Lei nº 5.899, de 5 de julho de 1973, ou nas suas sucessoras.;Revogado;Resolução ANEEL n. 73, de 8 de fevereiro de 2002 (Diário Oficial, de 13 fev. 2002, seção 1, p. 40) (REVOGADA);http://www.aneel.gov.br/cedoc/res2002073.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;13/07/2023;Victoria;;STD;Agente conectado;Transmissora ou distribuidora responsável pelo ativo onde ocorre a conexão.;Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;Não se Aplica;;Termo Novo;;;;;
;Julho;13/07/2023;Victoria;;STD;Agente conectante;Agente de geração, transmissão, distribuição, importação/exportação ou consumidor livre ou especial que se conecta aos ativos do agente conectado.;Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;Não se Aplica;;Termo Novo;;;;;
;Julho;19/06/2023;Victoria;;MME;Agente custodiante (Leilão);Instituição financeira responsável pelo recebimento, custódia e eventual execução das GARANTIAS DE PROPOSTA, por determinação expressa da ANEEL, nos termos do EDITAL.;Vigente;Portaria Normativa MME n. 66, de 15 de junho de 2023 (Diário Oficial, de 16 junho 2023, seção 1, p. 52), Anexo;https://www2.aneel.gov.br/cedoc/prt2023066mme.pdf;_;Usar qualificador;Leilão;SIM;;;;;
;Novembro;23/11/2012;Equipe anterior;;SRM;Agente da Câmara de Comercialização de Energia Elétrica;Concessionário, permissionário e autorizado de serviços ou instalações de energia elétrica, detentor de registro de empreendimento de geração, consumidor livre e consumidor especial que seja associado à CCEE.;Vigente;Resolução Normativa ANEEL n. 957, de 7 de dezembro de 2021 (Diário Oficial, de 17 dez. 2021, seção 1, p. 118);http://www2.aneel.gov.br/cedoc/ren2021957.pdf;_;Não se Aplica;;SIM;;;;;
;Julho;24/07/2013;Equipe anterior;;SEM, ONS;Agente de comercialização;Agente titular de autorização outorgada pelo Poder Concedente para exercer a atividade de comercialização de energia elétrica no âmbito da CCEE. Diz-se, também, comercializador ou agente comercializador.;Vigente;Despacho ANEEL n. 2.100, de 4 de julho de 2023 (Diário Oficial da União, de 07 jul. 2023, seção 1, p. 96) Anexo I - Submódulo 1.2 - Glossário;https://www2.aneel.gov.br/cedoc/adsp20232100_2.pdf;https://www2.aneel.gov.br/cedoc/dsp20232100.pdf;Não se Aplica;;SIM;;;;;
